Date,Open,High,Low,Close,Adj Close,Volume
2017-12-07,50040.000000,50980.000000,50020.000000,50740.000000,44843.289063,11065600
2017-12-08,51360.000000,52000.000000,51040.000000,52000.000000,45956.851563,11290450
2017-12-11,52000.000000,52040.000000,51500.000000,51780.000000,45762.425781,8125850
2017-12-12,51820.000000,52100.000000,51660.000000,52100.000000,46045.234375,8765050
2017-12-13,52100.000000,52100.000000,51100.000000,51320.000000,45355.882813,11333700
2017-12-14,51320.000000,52280.000000,51060.000000,51060.000000,45126.089844,20310400
2017-12-15,51240.000000,51480.000000,50520.000000,50620.000000,44737.230469,14928550
2017-12-18,50620.000000,51240.000000,50620.000000,51200.000000,45249.824219,7350250
2017-12-19,51540.000000,52080.000000,51520.000000,51560.000000,45567.984375,11978600
2017-12-21,51000.000000,51060.000000,49100.000000,49140.000000,43429.230469,15624300
2017-12-22,49400.000000,49960.000000,49240.000000,49700.000000,43924.152344,11199650
2017-12-26,49760.000000,50100.000000,48200.000000,48200.000000,42598.480469,16039850
2017-12-27,48960.000000,49560.000000,48460.000000,49360.000000,44016.335938,10743600
2017-12-28,49560.000000,50960.000000,49500.000000,50960.000000,45443.125000,8985450
2018-01-02,null,null,null,null,null,null
2018-01-03,52540.000000,52560.000000,51420.000000,51620.000000,46031.679688,10013500
2018-01-04,52120.000000,52180.000000,50640.000000,51080.000000,45550.128906,11695450
2018-01-05,51300.000000,52120.000000,51200.000000,52120.000000,46477.542969,9481150
2018-01-08,52400.000000,52520.000000,51500.000000,52020.000000,46388.371094,8383650
2018-01-09,51460.000000,51720.000000,49980.000000,50400.000000,44943.753906,18013600
2018-01-10,50500.000000,50520.000000,48640.000000,48840.000000,43552.636719,18566800
2018-01-11,48200.000000,49260.000000,48020.000000,48240.000000,43017.585938,25123800
2018-01-12,48240.000000,48480.000000,46760.000000,48200.000000,42981.929688,27270450
2018-01-15,48800.000000,48980.000000,47920.000000,48540.000000,43285.113281,10096000
2018-01-16,48760.000000,50140.000000,48620.000000,50000.000000,44587.058594,20389650
2018-01-17,50020.000000,50020.000000,49060.000000,49620.000000,44248.191406,11053050
2018-01-18,50020.000000,50640.000000,49820.000000,49900.000000,44497.882813,14848850
2018-01-19,50380.000000,50380.000000,49040.000000,49320.000000,43980.667969,9219950
2018-01-22,48640.000000,48680.000000,47960.000000,48240.000000,43017.585938,12520900
2018-01-23,48660.000000,49160.000000,48300.000000,49160.000000,43837.984375,13532700
2018-01-24,48860.000000,49700.000000,48560.000000,49340.000000,43998.503906,9550500
2018-01-25,49220.000000,50360.000000,49160.000000,50260.000000,44818.898438,11160350
2018-01-26,50500.000000,50780.000000,49840.000000,50780.000000,45282.605469,10350100
2018-01-29,51200.000000,51480.000000,50900.000000,51220.000000,45674.980469,11838800
2018-01-30,50440.000000,50640.000000,49780.000000,49800.000000,44408.707031,12284550
2018-01-31,50020.000000,54140.000000,49600.000000,49900.000000,44497.882813,64681300
2018-02-01,50620.000000,50960.000000,49720.000000,49820.000000,44426.542969,27609450
2018-02-02,49380.000000,49400.000000,47700.000000,47700.000000,42536.054688,29260350
2018-02-05,46500.000000,48320.000000,46000.000000,47920.000000,42732.238281,28357900
2018-02-06,46600.000000,47920.000000,46580.000000,47420.000000,42286.363281,19406450
2018-02-07,48240.000000,48260.000000,45800.000000,45800.000000,40841.742188,23448050
2018-02-08,46120.000000,46620.000000,45980.000000,46000.000000,41020.085938,23251050
2018-02-09,44440.000000,45180.000000,44420.000000,44700.000000,39860.824219,17465000
2018-02-12,45100.000000,46320.000000,45040.000000,45720.000000,40770.406250,15754950
2018-02-13,46200.000000,48060.000000,46200.000000,47540.000000,42393.375000,18923250
2018-02-14,48080.000000,49100.000000,47940.000000,49000.000000,43695.316406,18905900
2018-02-19,49800.000000,49800.000000,47860.000000,48380.000000,43142.429688,15353450
2018-02-20,48040.000000,48160.000000,47220.000000,47400.000000,42268.527344,10122600
2018-02-21,47280.000000,47580.000000,46840.000000,47280.000000,42161.519531,12880200
2018-02-22,47260.000000,47260.000000,46760.000000,46760.000000,41697.804688,8869950
2018-02-23,46760.000000,47800.000000,46760.000000,47220.000000,42108.015625,12423300
2018-02-26,47280.000000,47560.000000,47080.000000,47380.000000,42250.691406,9560650
2018-02-27,48360.000000,48380.000000,47380.000000,47380.000000,42250.691406,9830550
2018-02-28,47380.000000,48100.000000,47000.000000,47060.000000,41965.339844,15162350
